"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","status","reviewNotes","ICES.confirmation","Observation..MD."
"SMKG01C_A","Age 1st cig (A)","Age smoked first cigarette (pre-2015 categorical)","Categorical","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C","smoking","Health behaviour","years","Universe: ever smoked 100+ cigarettes. PUMF only. Pre-2015 grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG01C_B","Age 1st cig (B)","Age smoked first cigarette (2015+ categorical)","Categorical","cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2011_2012_m, cchs2013_2014_m, cchs2010_m, cchs2012_m, cchs2014_m","cchs2005_p::SMKEG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, [SMKG01C]","smoking","Health behaviour","years","Universe: ever smoked 100+ cigarettes. PUMF only. 2015+ grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG01C_cont","Age 1st cig","Age smoked first whole cigarette","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C, cchs2005_p::SMKEG01C, cchs2007_2008_p::SMKG01C, cchs2009_2010_p::SMKG01C, cchs2011_2012_p::SMKG01C, cchs2013_2014_p::SMKG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2019_2020_p::SMKG035, cchs2021_p::SMKG035, cchs2001_m::SMKA_01C, cchs2003_m::SMKC_01C, cchs2005_m::SMKE_01C, cchs2007_2008_m::SMK_01C, cchs2009_2010_m::SMK_01C, cchs2011_2012_m::SMK_01C, cchs2013_2014_m::SMK_01C, cchs2015_2016_m::SMK_035, cchs2017_2018_m::SMK_035, cchs2019_2020_m::SMK_035, cchs2021_m::SMK_035, cchs2022_m::CSS_10, cchs2023_m::CSS_10","smoking","Health behaviour","years","Universe: ever smoked 100+ cigarettes. PUMF: midpoint imputation from grouped categories. Master: direct pass-through of continuous values. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Master coverage added 2026-01-05 for cross-validation and replication.",NA,NA
"SMKG040","Age daily smoking","Age started smoking daily - ever-daily (categorical)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","[SMKG040]","smoking","Health behaviour","years","Universe: ever-daily smokers. Categorical grouping of age started daily smoking. 2015+ only. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG040_cont","Age daily (ever)","Age started smoking cigarettes daily (all ever-daily smokers)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::[SMKAG203, SMKAG207], cchs2003_p::[SMKCG203, SMKCG207], cchs2005_p::[SMKEG203, SMKEG207], cchs2007_2008_p::[SMKG203, SMKG207], cchs2009_2010_p::[SMKG203, SMKG207], cchs2011_2012_p::[SMKG203, SMKG207], cchs2013_2014_p::[SMKG203, SMKG207], cchs2015_2016_p::SMKG040, cchs2017_2018_p::SMKG040, cchs2019_2020_p::SMKG040, cchs2021_p::SMKG040, cchs2001_m::[SMKA_203, SMKA_207], cchs2003_m::[SMKC_203, SMKC_207], cchs2005_m::[SMKE_203, SMKE_207], cchs2007_2008_m::[SMK_203, SMK_207], cchs2009_2010_m::[SMK_203, SMK_207], cchs2011_2012_m::[SMK_203, SMK_207], cchs2013_2014_m::[SMK_203, SMK_207], cchs2015_2016_m::SMK_040, cchs2017_2018_m::SMK_040, cchs2019_2020_m::SMK_040, cchs2021_m::SMK_040, cchs2022_m::SPU_15, cchs2023_m::SPU_15","smoking","Health behaviour","years","Universe: all ever-daily smokers. PUMF: midpoint imputation from grouped categories. Master: direct pass-through of continuous values. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Master coverage added 2026-01-05 for cross-validation and replication.",NA,NA
"SMKG203_A","Age daily curr (A)","Age started smoking daily - current daily (pre-2015 categorical)","Categorical","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203","smoking","Health behaviour","years","Universe: current daily smokers. PUMF only. Pre-2015 grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG203_B","Age daily curr (B)","Age started smoking daily - current daily (2015+ categorical)","Categorical","cchs2005_m, cchs2005_p, cchs2007_2008_m, cchs2007_2008_p, cchs2009_2010_m, cchs2009_2010_p, cchs2010_m, cchs2010_p, cchs2011_2012_m, cchs2011_2012_p, cchs2012_m, cchs2012_p, cchs2013_2014_m, cchs2013_2014_p, cchs2014_m, cchs2014_p","cchs2005_p::SMKEG203, [SMKG203]","smoking","Health behaviour","years","Universe: current daily smokers. PUMF only. 2015+ grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG203_cont","Age daily (curr)","Age started smoking cigarettes daily (current daily smokers)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, cchs2007_2008_p::SMKG203, cchs2009_2010_p::SMKG203, cchs2011_2012_p::SMKG203, cchs2013_2014_p::SMKG203, cchs2015_2016_p::[SMKG005, SMKG040], cchs2017_2018_p::[SMKG005, SMKG040], cchs2019_2020_p::[SMKG005, SMKG040], cchs2021_p::[SMKG005, SMKG040], cchs2001_m::SMKA_203, cchs2003_m::SMKC_203, cchs2005_m::SMKE_203, cchs2007_2008_m::SMK_203, cchs2009_2010_m::SMK_203, cchs2011_2012_m::SMK_203, cchs2013_2014_m::SMK_203, cchs2015_2016_m::[SMK_005, SMK_040], cchs2017_2018_m::[SMK_005, SMK_040], cchs2019_2020_m::[SMK_005, SMK_040], cchs2021_m::[SMK_005, SMK_040], cchs2022_m::[CSS_05, SPU_15], cchs2023_m::[CSS_05, SPU_15]","smoking","Health behaviour","years","Universe: current daily smokers. PUMF: midpoint imputation from grouped categories. Master: direct pass-through of continuous values. {recommended:secondary} {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Master coverage added 2026-01-05 for cross-validation and replication.",NA,NA
"SMKG207_A","Age daily fmr (A)","Age started smoking daily - former daily (pre-2015 categorical)","Categorical","cchs2001_p, cchs2003_p","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207","smoking","Health behaviour","years","Universe: former daily smokers. PUMF only. Pre-2015 grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG207_B","Age daily fmr (B)","Age started smoking daily - former daily (2015+ categorical)","Categorical","cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2005_p::SMKEG207, [SMKG207]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF only. 2015+ grouped categories. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG207_cont","Age daily (fmr)","Age started smoking cigarettes daily (former daily smokers)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, cchs2007_2008_p::SMKG207, cchs2009_2010_p::SMKG207, cchs2011_2012_p::SMKG207, cchs2013_2014_p::SMKG207, cchs2015_2016_p::[SMKG005, SMKG030, SMKG040], cchs2017_2018_p::[SMKG005, SMKG030, SMKG040], cchs2019_2020_p::[SMKG005, SMKG030, SMKG040], cchs2021_p::[SMKG005, SMKG030, SMKG040], cchs2001_m::SMKA_207, cchs2003_m::SMKC_207, cchs2005_m::SMKE_207, cchs2007_2008_m::SMK_207, cchs2009_2010_m::SMK_207, cchs2011_2012_m::SMK_207, cchs2013_2014_m::SMK_207, cchs2015_2016_m::[SMK_005, SMK_030, SMK_040], cchs2017_2018_m::[SMK_005, SMK_030, SMK_040], cchs2019_2020_m::[SMK_005, SMK_030, SMK_040], cchs2021_m::[SMK_005, SMK_030, SMK_040], cchs2022_m::[CSS_05, SPU_05, SPU_15], cchs2023_m::[CSS_05, SPU_05, SPU_15]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF: midpoint imputation from grouped categories. Master: direct pass-through of continuous values. {recommended:secondary} {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Master coverage added 2026-01-05 for cross-validation and replication.",NA,NA
